0	latitude	longitude	diurnal
729	36.0192	-121.2891	50381.8
730	36.0192	-121.2888	50381.8
731	36.0192	-121.2883	50381.8
732	36.0192	-121.2877	50381.8
733	36.0192	-121.2872	50381.8
734	36.0191	-121.2866	50381.8
735	36.0191	-121.2863	50381.8
736	36.0191	-121.2858	50381.8
737	36.0191	-121.2852	50381.8
738	36.0191	-121.2847	50381.8
739	36.0191	-121.2841	50381.8
740	36.0191	-121.2838	50381.8
741	36.0191	-121.2833	50381.8
742	36.0191	-121.2827	50381.7
743	36.0191	-121.2822	50381.7
744	36.0191	-121.2816	50381.7
745	36.0191	-121.2813	50381.7
746	36.0191	-121.2808	50381.7
747	36.0191	-121.2802	50381.7
748	36.0191	-121.2797	50381.7
749	36.0190	-121.2791	50381.7
750	36.0190	-121.2788	50381.7
751	36.0190	-121.2783	50381.7
752	36.0190	-121.2777	50381.7
753	36.0190	-121.2772	50381.7
754	36.0190	-121.2766	50381.7
755	36.0190	-121.2761	50381.7
756	36.0190	-121.2758	50381.7
757	36.0190	-121.2752	50381.7
758	36.0190	-121.2747	50381.7
759	36.0190	-121.2741	50381.7
760	36.0190	-121.2736	50381.7
761	36.0190	-121.2733	50381.7
762	36.0190	-121.2727	50381.7
763	36.0190	-121.2722	50381.7
764	36.0189	-121.2716	50381.7
765	36.0189	-121.2711	50381.7
766	36.0189	-121.2708	50381.6
767	36.0189	-121.2702	50381.6
768	36.0189	-121.2697	50381.6
769	36.0189	-121.2691	50381.6
770	36.0189	-121.2686	50381.6
771	36.0189	-121.2683	50381.6
772	36.0189	-121.2677	50381.6
